voltage,current
-1.9667,7.423391e-11
-1.9333,1.486012e-10
-1.9000,2.538505e-10
-1.8667,3.056083e-10
-1.8333,3.912412e-10
-1.8000,4.560609e-10
-1.7667,5.114560e-10
-1.7333,5.955945e-10
-1.7000,6.461592e-10
-1.6667,7.185434e-10
-1.6333,7.601909e-10
-1.6000,8.125712e-10
-1.5667,8.495017e-10
-1.5333,8.728729e-10
-1.5000,8.990336e-10
-1.4667,9.357264e-10
-1.4333,9.632690e-10
-1.4000,9.785778e-10
-1.3667,9.926092e-10
-1.3333,9.889834e-10
-1.3000,1.001595e-09
-1.2667,9.801561e-10
-1.2333,9.743926e-10
-1.2000,9.590024e-10
-1.1667,9.099010e-10
-1.1333,8.780570e-10
-1.1000,8.523148e-10
-1.0667,8.228018e-10
-1.0333,7.521661e-10
-1.0000,7.093896e-10
-0.9667,6.530281e-10
-0.9333,5.894638e-10
-0.9000,5.249409e-10
-0.8667,4.492044e-10
-0.8333,3.866036e-10
-0.8000,3.078308e-10
-0.7667,2.298425e-10
-0.7333,1.525735e-10
-0.7000,7.121572e-11
-0.6667,7.998828e-12
-0.6333,-8.711480e-11
-0.6000,-1.676880e-10
-0.5667,-2.194983e-10
-0.5333,-3.246958e-10
-0.5000,-3.777543e-10
-0.4667,-4.501552e-10
-0.4333,-5.080542e-10
-0.4000,-5.883225e-10
-0.3667,-6.392843e-10
-0.3333,-7.356878e-10
-0.3000,-7.644820e-10
-0.2667,-8.176228e-10
-0.2333,-8.540397e-10
-0.2000,-8.901408e-10
-0.1667,-9.311942e-10
-0.1333,-9.382938e-10
-0.1000,-9.624489e-10
-0.0667,-9.860785e-10
-0.0333,-9.900518e-10
0.0000,-9.985096e-10
0.0333,-1.003257e-09
0.0667,-1.009659e-09
0.1000,-9.679823e-10
0.1333,-9.608017e-10
0.1667,-9.151206e-10
0.2000,-9.146842e-10
0.2333,-8.575613e-10
0.2667,-8.087848e-10
0.3000,-7.565569e-10
0.3333,-7.190377e-10
0.3667,-6.447496e-10
0.4000,-5.766693e-10
0.4333,-5.396254e-10
0.4667,-4.636128e-10
0.5000,-3.973314e-10
0.5333,-2.988478e-10
0.5667,-2.317173e-10
0.6000,-1.375058e-10
0.6333,-7.019431e-11
0.6667,-5.873134e-12
0.7000,6.525056e-11
0.7333,1.802557e-10
0.7667,2.164391e-10
0.8000,2.972492e-10
0.8333,3.818910e-10
0.8667,4.379850e-10
0.9000,5.438404e-10
0.9333,5.927923e-10
0.9667,6.365071e-10
1.0000,6.861012e-10
1.0333,7.560246e-10
1.0667,8.080453e-10
1.1000,8.591346e-10
1.1333,8.912641e-10
1.1667,9.202708e-10
1.2000,9.515699e-10
1.2333,9.811286e-10
1.2667,9.858758e-10
1.3000,9.952182e-10
1.3333,1.009977e-09
1.3667,9.959845e-10
1.4000,9.808842e-10
1.4333,9.661767e-10
1.4667,9.544577e-10
1.5000,9.355299e-10
1.5333,8.874418e-10
1.5667,8.581911e-10
1.6000,8.145553e-10
1.6333,7.605248e-10
1.6667,7.138777e-10
1.7000,6.600499e-10
1.7333,5.814343e-10
1.7667,5.122914e-10
1.8000,4.553467e-10
1.8333,3.964717e-10
1.8667,3.232402e-10
1.9000,2.356557e-10
1.9333,1.612385e-10
1.9667,7.611006e-11
2.0000,-1.932081e-12
